title,box_off_num
용서는 없다,882661.1207439062
아빠가 여자를 좋아해,907061.3942060466
하모니,1328138.904852224
의형제,1404436.3161245624
평행 이론,1226449.4512696352
회오리 바람,99214.830763822
경계도시 2,3875.8267934158207
이웃집 남자,19953.595817465415
아마존의 눈물 극장판,15862.228432718404
반가운 살인자,676278.9775595927
집 나온 남자들,481289.0414053584
베스트셀러,918857.5748039425
작은 연못,929406.9602326091
경,13866.532521501176
대한민국 1%,819441.5319773011
포화 속으로,2077514.7397874522
나쁜 놈이 더 잘 잔다,28393.008340480268
맨발의 꿈,774333.0895886726
요술,604463.2237142889
마법천자문: 대마왕의 부활을 막아라,159337.00621161054
인플루언스,4190.569841783401
미스터 좀비,14130.56988865853
김복남 살인사건의 전말,452278.58545798203
엄지아빠,17607.67176718266
탈주,3915.170773724396
해결사,1553638.38329429
할,15555.531156655496
된장,1251880.748628031
조금만 더 가까이,78836.70786702904
우리 만난 적 있나요,191948.88211550933
쩨쩨한 로맨스,1092101.143861979
용서,147484.22299645765
브라보! 재즈 라이프,164155.55033336757
카페 느와르,542199.0156282794
오래된 인력거,128703.94817918965
창피해,216112.22133149728
"양 한 마리, 양 두 마리",118474.11605661271
하얀 정글,139289.86079345853
다슬이,57046.52594638437
REC 알이씨,12735.685057858731
량강도 아이들,229713.51216498765
티끌모아 로맨스,32361.362493523433
더 킥,24600.132903160393
커플즈,156572.5121023141
오늘,58449.72615200138
완득이,1298366.9352372657
은어,27839.06636209822
고래를 찾는 자전거,86866.40584346175
도가니,13363.580930004804
겨울냄새,53669.92061412797
환타스틱 모던가야그머,53591.503490543604
블라인드,427750.5431754723
링크,18829.450649457485
퀵,672398.9244222704
모비딕,762464.7255772061
굿바이 보이,339527.1803509961
종로의 기적,36433.866209783824
회초리,987392.943622257
체포왕,1262206.3089352474
세상에서 가장 아름다운 이별,931180.2565573268
나는 아빠다,1513199.1302609486
수상한 고객들,1243825.3441633496
수상한 이웃들,130087.76059338123
돌아오는 길,14298.052785575059
우리 이웃의 범죄,475893.2304342227
